BlockNumber,StreetName,Street_Address,helper,State,City
400.0,QUARRY RD,400 QUARRY RD,keep,Virginia,Charlottesville
2100.0,"ARLINGTON BLVD, 509","2100 ARLINGTON BLVD, 509",keep,Virginia,Charlottesville
1000.0,"WERTLAND ST, 404","1000 WERTLAND ST, 404",keep,Virginia,Charlottesville
1200.0,CARLTON AVE,1200 CARLTON AVE,keep,Virginia,Charlottesville
,W MARKET ST / 2ND ST NW,W MARKET ST / 2ND ST NW,drop,Virginia,Charlottesville
800.0,MONTROSE AVE,800 MONTROSE AVE,keep,Virginia,Charlottesville
2100.0,"MICHIE DR, 106","2100 MICHIE DR, 106",keep,Virginia,Charlottesville
1300.0,"KNOLL ST, A","1300 KNOLL ST, A",keep,Virginia,Charlottesville
1400.0,SHORT 18TH ST,1400 SHORT 18TH ST,keep,Virginia,Charlottesville
200.0,E MAIN ST,200 E MAIN ST,keep,Virginia,Charlottesville
600.0,E MARKET ST,600 E MARKET ST,keep,Virginia,Charlottesville
400.0,E MAIN ST,400 E MAIN ST,keep,Virginia,Charlottesville
500.0,1ST ST S,500 1ST ST S,keep,Virginia,Charlottesville
300.0,"15TH ST NW, 5026","300 15TH ST NW, 5026",keep,Virginia,Charlottesville
100.0,W MAIN ST,100 W MAIN ST,keep,Virginia,Charlottesville
1000.0,EMMET ST N,1000 EMMET ST N,keep,Virginia,Charlottesville
400.0,RIDGE MCINTIRE RD,400 RIDGE MCINTIRE RD,keep,Virginia,Charlottesville
900.0,"PRESTON AVE, A","900 PRESTON AVE, A",keep,Virginia,Charlottesville
900.0,BELMONT AVE,900 BELMONT AVE,keep,Virginia,Charlottesville
2200.0,GREENBRIER DR,2200 GREENBRIER DR,keep,Virginia,Charlottesville
400.0,250 BYPASS,400 250 BYPASS,keep,Virginia,Charlottesville
2000.0,"HOLIDAY DR, 359","2000 HOLIDAY DR, 359",keep,Virginia,Charlottesville
1300.0,RIVERDALE DR,1300 RIVERDALE DR,keep,Virginia,Charlottesville
1900.0,EMMET ST N,1900 EMMET ST N,keep,Virginia,Charlottesville
100.0,LANKFORD AVE,100 LANKFORD AVE,keep,Virginia,Charlottesville
1100.0,5TH ST SW,1100 5TH ST SW,keep,Virginia,Charlottesville
500.0,HARRIS RD,500 HARRIS RD,keep,Virginia,Charlottesville
700.0,STONEHENGE AVE,700 STONEHENGE AVE,keep,Virginia,Charlottesville
2500.0,WILLARD DR,2500 WILLARD DR,keep,Virginia,Charlottesville
1100.0,EMMET ST N,1100 EMMET ST N,keep,Virginia,Charlottesville
1200.0,HOLMES AVE,1200 HOLMES AVE,keep,Virginia,Charlottesville
700.0,E MAIN ST,700 E MAIN ST,keep,Virginia,Charlottesville
1600.0,HARDWOOD AVE,1600 HARDWOOD AVE,keep,Virginia,Charlottesville
2000.0,MINOR RD,2000 MINOR RD,keep,Virginia,Charlottesville
100.0,7TH ST NE,100 7TH ST NE,keep,Virginia,Charlottesville
1200.0,CEDARS CT,1200 CEDARS CT,keep,Virginia,Charlottesville
700.0,RIDGE ST,700 RIDGE ST,keep,Virginia,Charlottesville
2100.0,IVY RD,2100 IVY RD,keep,Virginia,Charlottesville
1800.0,EMMET ST N,1800 EMMET ST N,keep,Virginia,Charlottesville
2000.0,INDIA RD,2000 INDIA RD,keep,Virginia,Charlottesville
100.0,E JEFFERSON ST,100 E JEFFERSON ST,keep,Virginia,Charlottesville
500.0,"HARRIS RD, 150","500 HARRIS RD, 150",keep,Virginia,Charlottesville
1000.0,FOREST HILLS AVE,1000 FOREST HILLS AVE,keep,Virginia,Charlottesville
600.0,E HIGH ST,600 E HIGH ST,keep,Virginia,Charlottesville
800.0,E MARKET ST,800 E MARKET ST,keep,Virginia,Charlottesville
1300.0,"CARLTON AVE, 207","1300 CARLTON AVE, 207",keep,Virginia,Charlottesville
2000.0,MORTON DR,2000 MORTON DR,keep,Virginia,Charlottesville
100.0,"MIDDLESEX DR, B","100 MIDDLESEX DR, B",keep,Virginia,Charlottesville
100.0,E MAIN ST,100 E MAIN ST,keep,Virginia,Charlottesville
700.0,PROSPECT AVE,700 PROSPECT AVE,keep,Virginia,Charlottesville
,SEMINOLE @ HYDRAULIC RD,SEMINOLE @ HYDRAULIC RD,drop,Virginia,Charlottesville
,OAK ST / 5TH ST SW,OAK ST / 5TH ST SW,drop,Virginia,Charlottesville
2100.0,"MICHIE DR, 47A","2100 MICHIE DR, 47A",keep,Virginia,Charlottesville
500.0,PARK ST,500 PARK ST,keep,Virginia,Charlottesville
800.0,ORANGEDALE AVE,800 ORANGEDALE AVE,keep,Virginia,Charlottesville
800.0,DRUID AVE,800 DRUID AVE,keep,Virginia,Charlottesville
100.0,BRANDYWINE CT,100 BRANDYWINE CT,keep,Virginia,Charlottesville
800.0,"HARDY DR, D","800 HARDY DR, D",keep,Virginia,Charlottesville
700.0,"PROSPECT AVE, F","700 PROSPECT AVE, F",keep,Virginia,Charlottesville
1600.0,EMMET ST N,1600 EMMET ST N,keep,Virginia,Charlottesville
1800.0,"JEFFERSON PARK AVE, 21","1800 JEFFERSON PARK AVE, 21",keep,Virginia,Charlottesville
500.0,"CLEVELAND AVE, B","500 CLEVELAND AVE, B",keep,Virginia,Charlottesville
500.0,14TH ST NW,500 14TH ST NW,keep,Virginia,Charlottesville
700.0,WALKER SQ,700 WALKER SQ,keep,Virginia,Charlottesville
200.0,HARTMANS MILL RD,200 HARTMANS MILL RD,keep,Virginia,Charlottesville
100.0,ROBERTSON AVE,100 ROBERTSON AVE,keep,Virginia,Charlottesville
300.0,E MAIN ST,300 E MAIN ST,keep,Virginia,Charlottesville
1000.0,ALTAVISTA AVE,1000 ALTAVISTA AVE,keep,Virginia,Charlottesville
400.0,RIVERSIDE AVE,400 RIVERSIDE AVE,keep,Virginia,Charlottesville
500.0,E MARKET ST,500 E MARKET ST,keep,Virginia,Charlottesville
200.0,E MARKET ST,200 E MARKET ST,keep,Virginia,Charlottesville
200.0,9TH ST NE,200 9TH ST NE,keep,Virginia,Charlottesville
300.0,MEADE AVE,300 MEADE AVE,keep,Virginia,Charlottesville
1700.0,JEFFERSON PARK AVE,1700 JEFFERSON PARK AVE,keep,Virginia,Charlottesville
800.0,PRESTON AVE,800 PRESTON AVE,keep,Virginia,Charlottesville
2100.0,BARRACKS RD,2100 BARRACKS RD,keep,Virginia,Charlottesville
,3RD ST SE / E WATER ST,3RD ST SE / E WATER ST,drop,Virginia,Charlottesville
700.0,MONTICELLO AVE,700 MONTICELLO AVE,keep,Virginia,Charlottesville
1900.0,CHESAPEAKE ST,1900 CHESAPEAKE ST,keep,Virginia,Charlottesville
100.0,BROOKWOOD DR,100 BROOKWOOD DR,keep,Virginia,Charlottesville
500.0,ROCKLAND AVE,500 ROCKLAND AVE,keep,Virginia,Charlottesville
1900.0,BLUE RIDGE RD,1900 BLUE RIDGE RD,keep,Virginia,Charlottesville
1000.0,W MAIN ST,1000 W MAIN ST,keep,Virginia,Charlottesville
400.0,GARRETT ST,400 GARRETT ST,keep,Virginia,Charlottesville
100.0,DENICE LN,100 DENICE LN,keep,Virginia,Charlottesville
100.0,"FRANKLIN ST, B","100 FRANKLIN ST, B",keep,Virginia,Charlottesville
600.0,RUGBY RD,600 RUGBY RD,keep,Virginia,Charlottesville
,OAK ST / OAKMONT ST,OAK ST / OAKMONT ST,drop,Virginia,Charlottesville
1000.0,"WERTLAND ST, 2A","1000 WERTLAND ST, 2A",keep,Virginia,Charlottesville
1000.0,"RIDGE ST, 10","1000 RIDGE ST, 10",keep,Virginia,Charlottesville
1900.0,"JEFFERSON PARK AVE, 27","1900 JEFFERSON PARK AVE, 27",keep,Virginia,Charlottesville
400.0,"VALLEY RD EXT, B","400 VALLEY RD EXT, B",keep,Virginia,Charlottesville
500.0,"HARRIS RD, 156","500 HARRIS RD, 156",keep,Virginia,Charlottesville
2300.0,ANGUS RD,2300 ANGUS RD,keep,Virginia,Charlottesville
100.0,NORTH BAKER ST,100 NORTH BAKER ST,keep,Virginia,Charlottesville
200.0,RIDGE MCINTIRE RD,200 RIDGE MCINTIRE RD,keep,Virginia,Charlottesville
300.0,CAMELIA DR,300 CAMELIA DR,keep,Virginia,Charlottesville
2000.0,JEFFERSON PARK AVE,2000 JEFFERSON PARK AVE,keep,Virginia,Charlottesville
200.0,CARLTON RD,200 CARLTON RD,keep,Virginia,Charlottesville
200.0,RIDGE ST,200 RIDGE ST,keep,Virginia,Charlottesville
3800.0,-78.5059997410000000,3800 -78.5059997410000000,keep,Virginia,Charlottesville
100.0,"PIEDMONT AVE S, B","100 PIEDMONT AVE S, B",keep,Virginia,Charlottesville
800.0,ST CLAIR AVE,800 ST CLAIR AVE,keep,Virginia,Charlottesville
300.0,"2ND ST SE, 100","300 2ND ST SE, 100",keep,Virginia,Charlottesville
300.0,CARLTON RD,300 CARLTON RD,keep,Virginia,Charlottesville
2100.0,"MICHIE DR, 52B","2100 MICHIE DR, 52B",keep,Virginia,Charlottesville
1500.0,WESTWOOD RD,1500 WESTWOOD RD,keep,Virginia,Charlottesville
1600.0,RICKY RD,1600 RICKY RD,keep,Virginia,Charlottesville
400.0,4TH ST NW,400 4TH ST NW,keep,Virginia,Charlottesville
,SHAMROCK RD / STADIUM RD,SHAMROCK RD / STADIUM RD,drop,Virginia,Charlottesville
1100.0,E JEFFERSON ST,1100 E JEFFERSON ST,keep,Virginia,Charlottesville
,2ND ST NW / W MARKET ST,2ND ST NW / W MARKET ST,drop,Virginia,Charlottesville
,E HIGH ST @ LONG ST,E HIGH ST @ LONG ST,drop,Virginia,Charlottesville
500.0,CHERRY AVE,500 CHERRY AVE,keep,Virginia,Charlottesville
500.0,"1ST ST N, 204","500 1ST ST N, 204",keep,Virginia,Charlottesville
2300.0,"CENTER AVE, B","2300 CENTER AVE, B",keep,Virginia,Charlottesville
100.0,CARLTON RD,100 CARLTON RD,keep,Virginia,Charlottesville
500.0,"12TH ST NW, A","500 12TH ST NW, A",keep,Virginia,Charlottesville
1000.0,BELMONT AVE,1000 BELMONT AVE,keep,Virginia,Charlottesville
1300.0,"CARLTON AVE, 104","1300 CARLTON AVE, 104",keep,Virginia,Charlottesville
1700.0,"JEFFERSON PARK AVE, 9","1700 JEFFERSON PARK AVE, 9",keep,Virginia,Charlottesville
100.0,E MARKET ST,100 E MARKET ST,keep,Virginia,Charlottesville
1400.0,BAKER ST,1400 BAKER ST,keep,Virginia,Charlottesville
1700.0,MONTICELLO RD,1700 MONTICELLO RD,keep,Virginia,Charlottesville
100.0,ELLIEWOOD AVE,100 ELLIEWOOD AVE,keep,Virginia,Charlottesville
1600.0,"EMMET ST N, 121","1600 EMMET ST N, 121",keep,Virginia,Charlottesville
1500.0,GRADY AVE,1500 GRADY AVE,keep,Virginia,Charlottesville
2100.0,"IVY RD, 13","2100 IVY RD, 13",keep,Virginia,Charlottesville
,14TH ST NW,14TH ST NW,drop,Virginia,Charlottesville
300.0,HILLSDALE DR,300 HILLSDALE DR,keep,Virginia,Charlottesville
2400.0,FONTAINE AVE,2400 FONTAINE AVE,keep,Virginia,Charlottesville
1300.0,NUNLEY ST,1300 NUNLEY ST,keep,Virginia,Charlottesville
100.0,"14TH ST NW, 1","100 14TH ST NW, 1",keep,Virginia,Charlottesville
100.0,MONTICELLO AVE,100 MONTICELLO AVE,keep,Virginia,Charlottesville
600.0,CHERRY AVE,600 CHERRY AVE,keep,Virginia,Charlottesville
300.0,"13TH ST NW, 1","300 13TH ST NW, 1",keep,Virginia,Charlottesville
1200.0,"CEDARS CT, 202B","1200 CEDARS CT, 202B",keep,Virginia,Charlottesville
1400.0,MIDLAND ST,1400 MIDLAND ST,keep,Virginia,Charlottesville
800.0,RUGBY RD,800 RUGBY RD,keep,Virginia,Charlottesville
,MILLMONT ST @ BARRACKS RD,MILLMONT ST @ BARRACKS RD,drop,Virginia,Charlottesville
800.0,WALKER SQ,800 WALKER SQ,keep,Virginia,Charlottesville
400.0,10TH ST NW,400 10TH ST NW,keep,Virginia,Charlottesville
,SUNSET AVENUE,SUNSET AVENUE,drop,Virginia,Charlottesville
2200.0,BANBURY ST,2200 BANBURY ST,keep,Virginia,Charlottesville
800.0,FOREST ST,800 FOREST ST,keep,Virginia,Charlottesville
1300.0,W MAIN ST,1300 W MAIN ST,keep,Virginia,Charlottesville
900.0,1ST ST S,900 1ST ST S,keep,Virginia,Charlottesville
,LONG ST / ST CLAIR AVE,LONG ST / ST CLAIR AVE,drop,Virginia,Charlottesville
600.0,E WATER ST,600 E WATER ST,keep,Virginia,Charlottesville
900.0,BOLLING AVE,900 BOLLING AVE,keep,Virginia,Charlottesville
100.0,STEWART CIR,100 STEWART CIR,keep,Virginia,Charlottesville
1900.0,"IVY RD, BLK","1900 IVY RD, BLK",keep,Virginia,Charlottesville
400.0,10TH ST NE,400 10TH ST NE,keep,Virginia,Charlottesville
800.0,"HARDY DR, C","800 HARDY DR, C",keep,Virginia,Charlottesville
500.0,RIDGE ST,500 RIDGE ST,keep,Virginia,Charlottesville
2100.0,"MICHIE DR, 35","2100 MICHIE DR, 35",keep,Virginia,Charlottesville
1200.0,"CEDARS CT, A2","1200 CEDARS CT, A2",keep,Virginia,Charlottesville
500.0,"HARRIS RD, 113","500 HARRIS RD, 113",keep,Virginia,Charlottesville
900.0,WEST ST,900 WEST ST,keep,Virginia,Charlottesville
600.0,"12TH ST NW, A","600 12TH ST NW, A",keep,Virginia,Charlottesville
600.0,W MAIN ST,600 W MAIN ST,keep,Virginia,Charlottesville
,GRADY AVE / 12TH ST NW,GRADY AVE / 12TH ST NW,drop,Virginia,Charlottesville
900.0,GRADY AVE,900 GRADY AVE,keep,Virginia,Charlottesville
800.0,"HARDY DR, B","800 HARDY DR, B",keep,Virginia,Charlottesville
1200.0,JOHN ST,1200 JOHN ST,keep,Virginia,Charlottesville
400.0,"GARRETT ST, F","400 GARRETT ST, F",keep,Virginia,Charlottesville
900.0,RIVER RD,900 RIVER RD,keep,Virginia,Charlottesville
1800.0,WESTVIEW RD,1800 WESTVIEW RD,keep,Virginia,Charlottesville
800.0,W MAIN ST,800 W MAIN ST,keep,Virginia,Charlottesville
1000.0,PAGE ST,1000 PAGE ST,keep,Virginia,Charlottesville
300.0,"RIVERSIDE AVE, A","300 RIVERSIDE AVE, A",keep,Virginia,Charlottesville
700.0,NALLE ST,700 NALLE ST,keep,Virginia,Charlottesville
,12TH ST NW,12TH ST NW,drop,Virginia,Charlottesville
300.0,W MAIN ST,300 W MAIN ST,keep,Virginia,Charlottesville
500.0,"HARRIS RD, 158","500 HARRIS RD, 158",keep,Virginia,Charlottesville
,BARRACKS RD @ MILLMONT ST,BARRACKS RD @ MILLMONT ST,drop,Virginia,Charlottesville
1400.0,UNIVERSITY AVE,1400 UNIVERSITY AVE,keep,Virginia,Charlottesville
1500.0,"CHERRY AVE, B","1500 CHERRY AVE, B",keep,Virginia,Charlottesville
,6TH ST SE / BELMONT AVE,6TH ST SE / BELMONT AVE,drop,Virginia,Charlottesville
,PRESTON AVE @ MCINTIRE RD,PRESTON AVE @ MCINTIRE RD,drop,Virginia,Charlottesville
1300.0,"LONG ST, 4","1300 LONG ST, 4",keep,Virginia,Charlottesville
1500.0,DAIRY RD,1500 DAIRY RD,keep,Virginia,Charlottesville
700.0,"WALKER SQ, 3B","700 WALKER SQ, 3B",keep,Virginia,Charlottesville
1400.0,LONG ST,1400 LONG ST,keep,Virginia,Charlottesville
1400.0,GRACE ST,1400 GRACE ST,keep,Virginia,Charlottesville
2500.0,JEFFERSON PARK AVE,2500 JEFFERSON PARK AVE,keep,Virginia,Charlottesville
300.0,"4TH ST SE, 31","300 4TH ST SE, 31",keep,Virginia,Charlottesville
2300.0,PRICE AVE,2300 PRICE AVE,keep,Virginia,Charlottesville
400.0,CHERRY AVE,400 CHERRY AVE,keep,Virginia,Charlottesville
400.0,RUGBY RD,400 RUGBY RD,keep,Virginia,Charlottesville
100.0,COPELEY RD,100 COPELEY RD,keep,Virginia,Charlottesville
1100.0,"KING ST, B","1100 KING ST, B",keep,Virginia,Charlottesville
400.0,"GARRETT ST, H","400 GARRETT ST, H",keep,Virginia,Charlottesville
900.0,EMMET ST N,900 EMMET ST N,keep,Virginia,Charlottesville
900.0,RIVES ST,900 RIVES ST,keep,Virginia,Charlottesville
100.0,"SHAMROCK RD, A","100 SHAMROCK RD, A",keep,Virginia,Charlottesville
1000.0,MILLMONT ST,1000 MILLMONT ST,keep,Virginia,Charlottesville
100.0,11TH ST SW,100 11TH ST SW,keep,Virginia,Charlottesville
200.0,W SOUTH ST,200 W SOUTH ST,keep,Virginia,Charlottesville
1600.0,GORDON AVE,1600 GORDON AVE,keep,Virginia,Charlottesville
100.0,4TH ST SE,100 4TH ST SE,keep,Virginia,Charlottesville
1200.0,GORDON AVE,1200 GORDON AVE,keep,Virginia,Charlottesville
700.0,"FRANKLIN ST, A4","700 FRANKLIN ST, A4",keep,Virginia,Charlottesville
100.0,"GARRETT ST, 700","100 GARRETT ST, 700",keep,Virginia,Charlottesville
800.0,HINTON AVE,800 HINTON AVE,keep,Virginia,Charlottesville
2000.0,"MICHIE DR, B","2000 MICHIE DR, B",keep,Virginia,Charlottesville
900.0,ALBEMARLE ST,900 ALBEMARLE ST,keep,Virginia,Charlottesville
1900.0,JEFFERSON PARK AVE,1900 JEFFERSON PARK AVE,keep,Virginia,Charlottesville
2300.0,"WAYNE AVE, B","2300 WAYNE AVE, B",keep,Virginia,Charlottesville
1200.0,KING ST,1200 KING ST,keep,Virginia,Charlottesville
,WATSON AVE / ST CHARLES AVE,WATSON AVE / ST CHARLES AVE,drop,Virginia,Charlottesville
900.0,ROCK CREEK RD,900 ROCK CREEK RD,keep,Virginia,Charlottesville
,PRESTON AVE / RUGBY RD,PRESTON AVE / RUGBY RD,drop,Virginia,Charlottesville
,FAIRWAY AVE / E MARKET ST,FAIRWAY AVE / E MARKET ST,drop,Virginia,Charlottesville
700.0,10TH ST NW,700 10TH ST NW,keep,Virginia,Charlottesville
900.0,ALTAVISTA AVE,900 ALTAVISTA AVE,keep,Virginia,Charlottesville
1400.0,"MONTICELLO RD, 23","1400 MONTICELLO RD, 23",keep,Virginia,Charlottesville
1900.0,CEDAR HILL RD,1900 CEDAR HILL RD,keep,Virginia,Charlottesville
500.0,"1ST ST S, 201","500 1ST ST S, 201",keep,Virginia,Charlottesville
700.0,"PROSPECT AVE, G","700 PROSPECT AVE, G",keep,Virginia,Charlottesville
2000.0,"HOLIDAY DR, 371","2000 HOLIDAY DR, 371",keep,Virginia,Charlottesville
300.0,E JEFFERSON ST,300 E JEFFERSON ST,keep,Virginia,Charlottesville
1200.0,HARRIS ST,1200 HARRIS ST,keep,Virginia,Charlottesville
500.0,11TH ST NW,500 11TH ST NW,keep,Virginia,Charlottesville
,8TH ST NW / HARDY DR,8TH ST NW / HARDY DR,drop,Virginia,Charlottesville
800.0,"CYNTHIANNA AVE, 4","800 CYNTHIANNA AVE, 4",keep,Virginia,Charlottesville
,2ND ST SE / MONTICELLO AVE,2ND ST SE / MONTICELLO AVE,drop,Virginia,Charlottesville
200.0,E WATER ST,200 E WATER ST,keep,Virginia,Charlottesville
600.0,E MAIN ST,600 E MAIN ST,keep,Virginia,Charlottesville
,HAMPTON ST / RIVES ST,HAMPTON ST / RIVES ST,drop,Virginia,Charlottesville
1100.0,W MAIN ST,1100 W MAIN ST,keep,Virginia,Charlottesville
,UNKNOWN,UNKNOWN,drop,Virginia,Charlottesville
1400.0,CARLTON AVE,1400 CARLTON AVE,keep,Virginia,Charlottesville
2000.0,"MICHIE DR, F","2000 MICHIE DR, F",keep,Virginia,Charlottesville
500.0,"HARRIS RD, 111","500 HARRIS RD, 111",keep,Virginia,Charlottesville
1800.0,MONTICELLO RD,1800 MONTICELLO RD,keep,Virginia,Charlottesville
300.0,10TH ST NW,300 10TH ST NW,keep,Virginia,Charlottesville
200.0,3RD ST NE,200 3RD ST NE,keep,Virginia,Charlottesville
,EMMET ST N / EARHART ST,EMMET ST N / EARHART ST,drop,Virginia,Charlottesville
100.0,"RIDGE ST, 119","100 RIDGE ST, 119",keep,Virginia,Charlottesville
600.0,RIDGE ST,600 RIDGE ST,keep,Virginia,Charlottesville
100.0,2ND ST SW,100 2ND ST SW,keep,Virginia,Charlottesville
,"DARIEN TER, 109","DARIEN TER, 109",drop,Virginia,Charlottesville
900.0,ST CLAIR AVE,900 ST CLAIR AVE,keep,Virginia,Charlottesville
,9TH ST SW / PINE ST,9TH ST SW / PINE ST,drop,Virginia,Charlottesville
,MEADE AVE / CARLTON RD,MEADE AVE / CARLTON RD,drop,Virginia,Charlottesville
200.0,4TH ST SW,200 4TH ST SW,keep,Virginia,Charlottesville
1100.0,PARK ST,1100 PARK ST,keep,Virginia,Charlottesville
200.0,"DOUGLAS AVE, 1A","200 DOUGLAS AVE, 1A",keep,Virginia,Charlottesville
,1ST ST S / LANKFORD AVE,1ST ST S / LANKFORD AVE,drop,Virginia,Charlottesville
300.0,BERRING ST,300 BERRING ST,keep,Virginia,Charlottesville
,MONTICELLO AVE / W I64 EXIT 121 FROM 20S ON,MONTICELLO AVE / W I64 EXIT 121 FROM 20S ON,drop,Virginia,Charlottesville
1400.0,RUGBY AVE,1400 RUGBY AVE,keep,Virginia,Charlottesville
300.0,6TH ST SW,300 6TH ST SW,keep,Virginia,Charlottesville
600.0,PRESTON AVE,600 PRESTON AVE,keep,Virginia,Charlottesville
,8TH ST NW @ PRESTON AVE,8TH ST NW @ PRESTON AVE,drop,Virginia,Charlottesville
1200.0,LEE ST,1200 LEE ST,keep,Virginia,Charlottesville
1200.0,"WERTLAND ST, B41","1200 WERTLAND ST, B41",keep,Virginia,Charlottesville
100.0,MADISON LN,100 MADISON LN,keep,Virginia,Charlottesville
100.0,5TH ST SE,100 5TH ST SE,keep,Virginia,Charlottesville
,E WATER ST / 2ND ST SE,E WATER ST / 2ND ST SE,drop,Virginia,Charlottesville
700.0,1ST ST S,700 1ST ST S,keep,Virginia,Charlottesville
200.0,4TH ST NW,200 4TH ST NW,keep,Virginia,Charlottesville
1100.0,"GORDON AVE, B","1100 GORDON AVE, B",keep,Virginia,Charlottesville
800.0,"HARDY DR, A","800 HARDY DR, A",keep,Virginia,Charlottesville
1700.0,ALLIED ST,1700 ALLIED ST,keep,Virginia,Charlottesville
,IVY RD / EMMET ST N,IVY RD / EMMET ST N,drop,Virginia,Charlottesville
700.0,CHARLTON AVE,700 CHARLTON AVE,keep,Virginia,Charlottesville
,EMMET ST N @ RAMP,EMMET ST N @ RAMP,drop,Virginia,Charlottesville
700.0,LOCUST AVE,700 LOCUST AVE,keep,Virginia,Charlottesville
900.0,CHARLTON AVE,900 CHARLTON AVE,keep,Virginia,Charlottesville
1000.0,CHERRY AVE,1000 CHERRY AVE,keep,Virginia,Charlottesville
1400.0,WESTWOOD RD,1400 WESTWOOD RD,keep,Virginia,Charlottesville
600.0,MONTROSE AVE,600 MONTROSE AVE,keep,Virginia,Charlottesville
1300.0,"CARLTON AVE, 300","1300 CARLTON AVE, 300",keep,Virginia,Charlottesville
1000.0,"GROVE ST, C","1000 GROVE ST, C",keep,Virginia,Charlottesville
1100.0,LOCUST AVE,1100 LOCUST AVE,keep,Virginia,Charlottesville
600.0,MONTICELLO AVE,600 MONTICELLO AVE,keep,Virginia,Charlottesville
300.0,"15TH ST NW, 5046C","300 15TH ST NW, 5046C",keep,Virginia,Charlottesville
600.0,BLENHEIM AVE,600 BLENHEIM AVE,keep,Virginia,Charlottesville
100.0,JUNCTION LN,100 JUNCTION LN,keep,Virginia,Charlottesville
400.0,FAIRWAY AVE,400 FAIRWAY AVE,keep,Virginia,Charlottesville
2100.0,"MICHIE DR, 4A","2100 MICHIE DR, 4A",keep,Virginia,Charlottesville
100.0,ROSSER AVE E,100 ROSSER AVE E,keep,Virginia,Charlottesville
800.0,"ST JAMES CIR, B","800 ST JAMES CIR, B",keep,Virginia,Charlottesville
400.0,SPRING ST,400 SPRING ST,keep,Virginia,Charlottesville
800.0,ROCK CREEK RD,800 ROCK CREEK RD,keep,Virginia,Charlottesville
200.0,W WATER ST,200 W WATER ST,keep,Virginia,Charlottesville
100.0,"E MAIN ST, A","100 E MAIN ST, A",keep,Virginia,Charlottesville
100.0,GARRETT ST,100 GARRETT ST,keep,Virginia,Charlottesville
800.0,CABELL AVE,800 CABELL AVE,keep,Virginia,Charlottesville
,HYDRAULIC RD / HILLSDALE DR,HYDRAULIC RD / HILLSDALE DR,drop,Virginia,Charlottesville
